Title:,Time Series, Area-Averaged of Ozone, Mole Fraction in Air (Daytime/Ascending) monthly 1 deg. @2hPa ()
User Start Date:,2012-01-01T00:00:00Z
User End Date:,2012-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2012-01-01T00:00:00Z&endtime=2012-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_O3_VMR_A(z%3D2)&variableFacets=dataFieldMeasurement%3AOzone%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_O3_VMR_A): -9999

time, mean_AIRX3STM_006_O3_VMR_A
2012-01-01 00:00:00,5041.30078
2012-02-01 00:00:00,5202.01953
2012-03-01 00:00:00,5176.17334
2012-04-01 00:00:00,4595.23535
2012-05-01 00:00:00,4370.70996
2012-06-01 00:00:00,4412.12158
2012-07-01 00:00:00,4317.9585
2012-08-01 00:00:00,4714.5415
2012-09-01 00:00:00,4781.12158
2012-10-01 00:00:00,4998.62549
2012-11-01 00:00:00,5129.63818
2012-12-01 00:00:00,4716.51953
