Title:,Time Series, Area-Averaged of Methane, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2008-01-01T00:00:00Z
User End Date:,2008-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2008-01-01T00:00:00Z&endtime=2008-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CH4_VMR_A(z%3D100)&variableFacets=dataFieldMeasurement%3ACH4%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CH4_VMR_A): -9999

time, mean_AIRX3STM_006_CH4_VMR_A
2008-01-01 00:00:00,1666.03592
2008-02-01 00:00:00,1663.28824
2008-03-01 00:00:00,1657.67385
2008-04-01 00:00:00,1666.78608
2008-05-01 00:00:00,1671.42202
2008-06-01 00:00:00,1674.26764
2008-07-01 00:00:00,1683.43354
2008-08-01 00:00:00,1686.12048
2008-09-01 00:00:00,1681.11561
2008-10-01 00:00:00,1677.11622
2008-11-01 00:00:00,1672.09085
2008-12-01 00:00:00,1666.49059
