Title:,Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2006-01-01T00:00:00Z
User End Date:,2006-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2006-01-01T00:00:00Z&endtime=2006-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CO_VMR_A(z%3D3)&variableFacets=dataFieldMeasurement%3ACO%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CO_VMR_A): -9999

time, mean_AIRX3STM_006_CO_VMR_A
2006-01-01 00:00:00,27.2046834
2006-02-01 00:00:00,27.5908893
2006-03-01 00:00:00,26.8042904
2006-04-01 00:00:00,26.3110636
2006-05-01 00:00:00,25.9989438
2006-06-01 00:00:00,25.7611759
2006-07-01 00:00:00,25.633457
2006-08-01 00:00:00,25.3468798
2006-09-01 00:00:00,24.9248532
2006-10-01 00:00:00,24.6539653
2006-11-01 00:00:00,24.8970995
2006-12-01 00:00:00,25.8756152
