Title:,Time Series, Area-Averaged of Ozone, Mole Fraction in Air (Daytime/Ascending) monthly 1 deg. @1hPa ()
User Start Date:,2006-01-01T00:00:00Z
User End Date:,2006-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2006-01-01T00:00:00Z&endtime=2006-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_O3_VMR_A(z%3D1)&variableFacets=dataFieldMeasurement%3AOzone%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_O3_VMR_A): -9999

time, mean_AIRX3STM_006_O3_VMR_A
2006-01-01 00:00:00,3356.0127
2006-02-01 00:00:00,3368.65649
2006-03-01 00:00:00,3239.33594
2006-04-01 00:00:00,2918.01758
2006-05-01 00:00:00,2685.59351
2006-06-01 00:00:00,2869.82837
2006-07-01 00:00:00,2822.30298
2006-08-01 00:00:00,3103.38916
2006-09-01 00:00:00,3118.54736
2006-10-01 00:00:00,3301.42285
2006-11-01 00:00:00,3489.6499
2006-12-01 00:00:00,3195.09424
