Title:,Time Series, Area-Averaged of Methane, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2005-01-01T00:00:00Z
User End Date:,2005-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2005-01-01T00:00:00Z&endtime=2005-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CH4_VMR_A(z%3D400)&variableFacets=dataFieldMeasurement%3ACH4%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CH4_VMR_A): -9999

time, mean_AIRX3STM_006_CH4_VMR_A
2005-01-01 00:00:00,1812.82944
2005-02-01 00:00:00,1808.13168
2005-03-01 00:00:00,1792.28425
2005-04-01 00:00:00,1787.4117
2005-05-01 00:00:00,1808.55503
2005-06-01 00:00:00,1825.04041
2005-07-01 00:00:00,1840.953
2005-08-01 00:00:00,1836.18357
2005-09-01 00:00:00,1822.189
2005-10-01 00:00:00,1804.93678
2005-11-01 00:00:00,1805.45688
2005-12-01 00:00:00,1810.31963
