Title:,Time Series, Area-Averaged of Water Vapor Mass Mixing Ratio (Daytime/Ascending) monthly 1 ()
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2014-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2014-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_H2OVapMMR_A(z%3D600)&variableFacets=dataFieldMeasurement%3AAtmospheric%20Moisture%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_H2OVapMMR_A): -9999

time, mean_AIRX3STM_006_H2OVapMMR_A
2014-01-01 00:00:00,0.525777102
2014-02-01 00:00:00,0.505530477
2014-03-01 00:00:00,0.732627928
2014-04-01 00:00:00,0.833658397
2014-05-01 00:00:00,1.50961971
2014-06-01 00:00:00,2.26175499
2014-07-01 00:00:00,2.36510444
2014-08-01 00:00:00,2.49587941
2014-09-01 00:00:00,1.70615304
2014-10-01 00:00:00,1.1691072
2014-11-01 00:00:00,0.731687546
2014-12-01 00:00:00,0.642013848
