Title:,Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2010-01-01T00:00:00Z
User End Date:,2010-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2010-01-01T00:00:00Z&endtime=2010-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CO_VMR_A(z%3D600)&variableFacets=dataFieldMeasurement%3ACO%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CO_VMR_A): -9999

time, mean_AIRX3STM_006_CO_VMR_A
2010-01-01 00:00:00,122.538537
2010-02-01 00:00:00,127.729094
2010-03-01 00:00:00,133.716831
2010-04-01 00:00:00,136.282616
2010-05-01 00:00:00,126.815332
2010-06-01 00:00:00,106.194592
2010-07-01 00:00:00,103.37347
2010-08-01 00:00:00,132.465319
2010-09-01 00:00:00,98.1648738
2010-10-01 00:00:00,97.6481207
2010-11-01 00:00:00,101.55944
2010-12-01 00:00:00,112.567709
